"#","RefDes","Qty","Manufacturer","Name","Value","Alternate","Pattern","Mount","Side","Description"
"1","C1","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","",""
"2","C2","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","","CAP CER 4.7UF 10V X5R 0603"
"3","C3","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","","CAP CER 4.7UF 10V X5R 0603"
"4","C4","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","","CAP CER 4.7UF 10V X5R 0603"
"5","C5","1","Samsung","CL10A475KP8NNNC","4.7uF","","CAP_0603","","","CAP CER 4.7UF 10V X5R 0603"
"6","C6","1","Samsung","CL10B105KP8NNNC","1uF","","CAP_0603_N","","",""
"7","D1","1","Everlight Electronics Co Ltd","EAST1616RGBB4","","","EAST1616RGBB2","","","LED RGB CLEAR 4SMD"
"8","J1","1","CnCTech","CnCTech 3220-10-0300-00-TR","","","CnCTech 3220-10-0300-00-TR","","",""
"9","J2","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"10","J3","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"11","J4","1","TE Connectivity","644456-3","","","HDR-1x3T/2.54/7x2","TH","",""
"12","J5","1","TE Connectivity","MTC.2 1-2199230-6 (N9151)","","","TE_1-2199230-6","","","
67 Position Female Connector M.2 (NGFF) Mini Card Gold 0.020 (0.50mm) Black
"
"13","J6","1","","","","","HDR-2x15T/2.54x2.54/38x5","TH","",""
"14","J7","1","","","","","HDR-2x22T/2.54x2.54/56x5","TH","",""
"15","J8","1","GCT","USB4125-GF-A-0190","","","GCT_USB4125-GF-A-0190_REVA2","","",""
"16","J9","1","Molex","90131-0122","","","HDR-2x2T/2.54x2.54/5x5","TH","",""
"17","JP1","1","","CircJumper-2","","","Circ-Jumper-2","TR","",""
"18","JP2","1","","CircJumper-2","","","Circ-Jumper-2","TR","",""
"19","LG1","1","PCB","LooUQ Logo","","","LooUQ-6mm","SLK","","LooUQ logo silk"
"20","MH1","1","Wurth","9774025151R","","","m.2 standoff","","",""
"21","R1","1","Stackpole","RNCP0603FTD10K0","10K","","RES_0603","","",""
"22","R2","1","Walsin Technology","WR06X3300FTL","330R","","RES_0603","","",""
"23","R3","1","Yageo","RC0603FR-0724K9L","24.9K","","RES_0603","","","RES 24.9K OHM 1% 1/10W 0603"
"24","R4","1","Yageo","RC0603FR-1362KL","62K","","RES_0603","","","RES 62K OHM 1% 1/10W 0603"
"25","R5","1","Yageo","RC0603FR-0773K2L","73.2K","","RES_0603","","","RES 73.2K OHM 1% 1/10W 0603"
"26","R6","1","Yageo","RC0603FR-0720KL","20K","","RES_0603","","","RES 20K OHM 1% 1/10W 0603"
"27","R7","1","Yageo","RC0603FR-0720KL","20K","","RES_0603","","","RES 20K OHM 1% 1/10W 0603"
"28","R8","1","Stackpole","RMCF0402FT5K10","5.1K","","RES_0603","","",""
"29","R9","1","Stackpole","RMCF0402FT5K10","5.1K","","RES_0603","","",""
"30","R10","1","Stackpole","RNCP0603FTD10K0","10K","","RES_0603","","","RES 10K OHM 1% 1/8W 0603"
"31","SW1","1","C&K","KMR221GLFS","","","KMR-2-wG","","","Tactile Switch SPST-NO Top Actuated Surface Mount, GndPin, 300gf"
"32","SW2","1","Wurth","418117270901","","","418117270901","TH","","SWITCH SLIDE DIP SPST 0.025A 24V"
"33","U1","1","Diodes Incorporated","AP7361EA-SPR-13","","","SO-8EP","","",""
"34","U2","1","Diodes Incorporated","AP7361EA-SPR-13","","","SO-8EP","","",""
"35","U3","1","TI","LP5817DRLR","","","IC_LP5817DRLR","","","3-CHANNEL I2C INTERFACE RGB LE"
